Chicken	Duck
SLCO2A1	SLCO2A1
BNIP2	BNIP2
TEAD4	TEAD4
HSDL1	HSDL1
DDX55	DDX55
LRIF1	LRIF1
RND2	RND2
DNAAF1	DNAAF1
GTF2A2	GTF2A2
PYM1	PYM1
BRCA1	BRCA1
ITCH	ITCH
HOXD3	HOXD3
GCNT3	GCNT3
TMED2	TMED2
SLC5A9	SLC5A9
FOXM1	FOXM1
AOX1	AOX1
AHCY	AHCY
MBTPS1	MBTPS1
OTUD7A	OTUD7A
STK38	STK38
NBR1	NBR1
ASIP	ASIP
SLC38A8	SLC38A8
RILPL2	RILPL2
KLF13	KLF13
PMEL	PMEL
HOXD4	HOXD4
MTMR10	MTMR10
MPP2	MPP2
HOXD8	HOXD8
EIF2S2	EIF2S2
PIGX	PIGX
PPFIA1	PPFIA1
SPATA6	SPATA6
FAN1	FAN1
HOXD9	HOXD9
SNRNP35	SNRNP35
CTTN	CTTN
RALY	RALY
CDC27	CDC27
ELAPOR1	ELAPOR1
ITFG2	ITFG2
HOXD11	HOXD11
HOXD12	HOXD12
MCEE	MCEE
PDCD5	PDCD5
SARS1	SARS1
SUOX	SUOX
HOXD13	HOXD13
SHANK2	SHANK2
BZW1	BZW1
FKBP4	FKBP4
DDX6	DDX6
NRROS	NRROS
CXCR5	CXCR5
CLK1	CLK1
WDR53	WDR53
ANKRD27	ANKRD27
PPIL3	PPIL3
KANSL1	KANSL1
ADIPOR1	ADIPOR1
SBNO1	SBNO1
RNF168	RNF168
APBA2	APBA2
NFIA	NFIA
FBXO3	FBXO3
H2BK1	H2BK1
NUDT19	NUDT19
NECAP1	NECAP1
ASB10	ASB10
DNAJC5	DNAJC5
UBXN7	UBXN7
RBM33	RBM33
TIMM17B	TIMM17A
SLC7A9	SLC7A9
HTR5A	HTR5A
INSIG1	INSIG1
FAM189A1	ENTREP2
TXNDC12	TXNDC12
BTF3L4	BTF3L4
BCL9L	BCL9L
TM4SF19	TM4SF19
FAM126B	HYCC2
LMO2	LMO2
PPIL1	PPIL1
CCDC84	CENATAC
CEP89	CEP89
TJP1	TJP1
C12orf65	MTRFR
CAPRIN1	CAPRIN1
SORT1	SORT1
SLC25A39	SLC25A39
TARSL2	TARS3
NEU4	NEU4
ORC1	ORC1
METTL16	METTL16
LMOD1	LMOD1
MPHOSPH9	MPHOSPH9
SNAP47	SNAP47
TRAPPC4	TRAPPC4
FAAP24	FAAP24
NDUFB3	NDUFB3
TPD52L2	TPD52L2
RUNDC3A	RUNDC3A
HYOU1	HYOU1
JMJD4	JMJD4
GAL3ST2	GAL3ST2
CFLAR	CFLAR
PRPF38A	PRPF38A
RHPN2	RHPN2
D2HGDH	D2HGDH
NAT10	NAT10
CASP10	CASP10
MYL6	MYL6
ING5	ING5
ABTB2	ABTB2
PITPNM2	PITPNM2
PKP1	PKP1
ARL6IP4	ARL6IP4
ZCCHC11	TUT4
RNF41	RNF41
OGFOD2	OGFOD2
ZGPAT	ZGPAT
LARP6	LARP6
CASP8	CASP8
ALS2L	ALS2CL
GPX7	GPX7
PHLDB1	PHLDB1
CAT	CAT
STXBP5L	STXBP5L
TRAK2	TRAK2
ATG4B	ATG4B
ANKRD52	ANKRD52
VIPR2	VIPR2
STRADB	STRADB
DRD2	DRD2
GTF2E1	GTF2E1
ELF5	ELF5
NOM1	NOM1
THAP4	THAP4
TMEM237	TMEM237
UBE3C	UBE3C
ANKK1	ANKK1
CS	CS
KLHL30	KLHL30
EHF	EHF
ILKAP	ILKAP
COQ10A	COQ10A
RABL3	RABL3
PDHX	PDHX
DNAJB6	DNAJB6
ABCB9	ABCB9
APIP	APIP
MPP4	MPP4
HGD	HGD
PAN2	PAN2
NCAM1	NCAM1
VPS37B	VPS37B
AGXT	AGXT
ARFRP1	ARFRP1
MAB21L4	MAB21L4
ITM2C	ITM2C
AGAP3	AGAP3
CAB39	CAB39
RTEL1	RTEL1
LRP3	LRP3
BHLHE23	BHLHE23
FAM159A	SHISAL2A
RNF32	RNF32
TIMELESS	TIMELESS
COA7	COA7
HIP1R	HIP1R
SLC7A10	SLC7A10
DENR	DENR
HES6	HES6
ECHDC2	ECHDC2
CEBPA	CEBPA
BCO2	BCO2
TMEM9	TMEM9
PER2	PER2
ESYT2	ESYT2
ALS2	ALS2
SCP2	SCP2
GPN3	GPN3
SLC1A2	SLC1A2
PODN	PODN
CDK15	CDK15
IL18	IL18
SLC1A7	SLC1A7
LMBR1	LMBR1
ATP5B	ATP5F1B
ARPC3	ARPC3
GSK3A	GSK3B
CEBPG	CEBPG
ANAPC7	ANAPC7
WDR60	DYNC2I1
PIK3CB	PIK3CB
PAMR1	PAMR1
ATP2A2	ATP2A2
MAATS1	CFAP91
COPB2	COPB2
IFT81	IFT81
TMEM183A	TMEM183A
CZIB	CZIB
DLAT	DLAT
NOP58	NOP58
LDLRAD3	LDLRAD3
POPDC2	POPDC2
RBP2	RBP2
COMMD9	COMMD9
RBP1	RBP1
PLA1A	PLA1A
TMEM120B	TMEM120B
PPFIA4	PPFIA4
PRR5L	PRR5L
CRYAB	CRYAB
P2RX7	P2RX7
PEPD	PEPD
TRAF6	TRAF6
BMPR2	BMPR2
HSPB2	HSPB2
RAG1	RAG1
P2RX4	P2RX4
LRP8	LRP8
DPP6	DPP6
NHLH2	NHLH2
C11orf1	CFAP68
DMRTB1	DMRTB1
FDXACB1	FDXACB1
CHST8	CHST8
PRIM1	PRIM1
WDR12	WDR12
IGSF9B	IGSF9B
RAG2	RAG2
CLSTN2	CLSTN2
PAXIP1	PAXIP1
C11orf74	IFTAP
GLIS1	GLIS1
ANAPC5	ANAPC5
LPCAT2	LPCAT2
SHH	SHH
CARF	CARF
TRIM42	TRIM42
ZBTB39	ZBTB39
NDC1	NDC1
RNF34	RNF34
NCAPD3	NCAPD3
ATP1A1	ATP1A1
SPSB4	SPSB4
MORN3	MORN3
DDX28	DDX28
GPR182	GPR182
PLEKHM3	PLEKHM3
DIO1	DIO1
SLC25A36	SLC25A36
NUAK2	NUAK2
LDLRAD1	LDLRAD1
JAM3	JAM3
TMEM59	TMEM59
USH1C	USH1C
RHOF	RHOF
ADAM10	ADAM10
NEMP1	NEMP1
FADD	FADD
METTL21A	METTL21A
VPS26B	VPS26B
TCEANC2	TCEANC2
PXYLP1	PXYLP1
HIPK1	HIPK1
SETD1A	SETD1B
CREB1	CREB1
SLC12A4	SLC12A4
OLFML3	OLFML3
CDCP2	CDCP2
THYN1	THYN1
G6PC2	G6PC2
EPHA4	EPHA4
HPD	HPD
CYB5RL	CYB5RL
PAX3	PAX3
ACAD8	ACAD8
SPC25	SPC25
MRPL37	MRPL37
MAB21L3	MAB21L3
TPCN2	TPCN2
PSMD9	PSMD9
SNED1	SNED1
BCL7A	BCL7A
TSHB	TSHB
HOXC13	HOXC13
TSPAN2	TSPAN2
SLC22A15	SLC22A15
CERS6	CERS6
MLXIP	MLXIP
NECAB3	NECAB3
MMP2	MMP2
B3GAT1	B3GAT1
CASQ2	CASQ2
STK39	STK39
NR4A1	NR4A1
SSBP3	SSBP3
NGF	NGF
SLC35G2	SLC35G2
VANGL1	VANGL1
SCN3B	SCN3B
IRX3	IRX3
SYT6	SYT6
SCLY	SCLY
EXOSC6	EXOSC6
ABCF2	ABCF2
B3GNT4	B3GNT4
CHD1L	CHD1L
TRIM33	TRIM33
BCAS2	BCAS2
DIABLO	DIABLO
VPS33A	VPS33A
ZCCHC8	ZCCHC8
PARS2	PARS2
FGF19	FGF19
TMEM39A	TMEM39A
FGF4	FGF4
DENND2C	DENND2C
B3GALT1	B3GALT1
FGF3	FGF3
SLC4A8	SLC4A8
ZMYND11	ZMYND11
STAC3	STAC3
R3HDM2	R3HDM2
ATP12A	ATP12A
NRAS	NRAS
RSRC2	RSRC2
ACOT11	ACOT11
B4GALT4	B4GALT4
KNTC1	KNTC1
ANO1	ANO1
TTC21B	TTC21B
CSDE1	CSDE1
DHCR24	DHCR24
HOXC12	HOXC12
UBE2G2	UBE2G2
DIP2C	DIP2C
VPS29	VPS29
GALNT3	GALNT3
SLC6A17	SLC6A17
TSPEAR	TSPEAR
MYL3	MYL3
PPTC7	PPTC7
CLMP	CLMP
ARHGAP31	ARHGAP31
TRPM2	TRPM2
PTH1R	PTH1R
ORMDL2	ORMDL2
CSRNP3	CSRNP3
RASSF7	RASSF7
DMAP1	DMAP1
HRAS	HRAS
HSPA8	HSPA8
AQP2	AQP2
UPK1B	UPK1B
ERI3	ERI3
HVCN1	HVCN1
CCDC12	CCDC12
RNH1	RNH1
TMEM53	TMEM53
CDKN1A	CDKN1A
AQP5	AQP5
ADIPOQ	ADIPOQ
PPP1CC	PPP1CC
C1orf228	ARMH1
ST6GAL1	ST6GAL1
CHKA	CHKA
MYL2	MYL2
SLC38A11	SLC38A11
RPS8	RPS8
JHY	JHY
KMT5B	KMT5B
IGSF11	IGSF11
CRTAM	CRTAM
COBLL1	COBLL1
KIF2C	KIF2C
GPR55	GPR55
CUX2	CUX2
BEST4	BEST4
MTCH1	MTCH1
UBASH3B	UBASH3B
ACSL3	ACSL3
HOXC8	HOXC8
HOXC11	HOXC11
FAM109A	PHETA1
GLI1	GLI1
SOX13	SOX13
SH2B3	SH2B3
ETNK2	ETNK2
KCNE4	KCNE4
FIGN	FIGN
ATXN2	ATXN2
TECTA	TECTA
EVX2	EVX2
TCTEX1D4	DYNLT4
KLF7	KLF7
TBCEL	TBCEL
BRAP	BRAP
ENKD1	ENKD1
PPP6R3	PPP6R3
GRIK4	GRIK4
CPO	CPO
LGR6	LGR6
FASTKD2	FASTKD2
MDH1B	MDH1B
ALDH2	ALDH2
ZNF76	ZNF76
SCG2	SCG2
FAM237A	FAM237A
ARHGEF12	ARHGEF12
HEATR3	HEATR3
SCUBE3	SCUBE3
TMEM116	TMEM116
KLHL18	KLHL18
AP1S3	AP1S3
ERP29	ERP29
WNT9B	WNT9B
GPATCH1	GPATCH1
CCDC160	POU2F3
HOXC9	HOXC9
GPR1	CMKLR2
OAF	OAF
HOXC10	HOXC10
FADS2	FADS2
KLHL12	KLHL12
TRAFD1	TRAFD1
EEF1B2	EEF1B2
NAA25	NAA25
TRIM29	TRIM29
HECTD4	HECTD4
SERPINE2	SERPINE2
RNF26	RNF26
NDUFS1	NDUFS1
RAB3IL1	RAB3IL1
MMP11	MMP11
MEIOC	MEIOC
INO80D	INO80D
CUL3	CUL3
CCDC43	CCDC43
SMARCB1	SMARCB1
ANKS1A	ANKS1A
FTH1	FTH1
NECTIN1	NECTIN1
ITGA2B	ITGA2B
NRP2	NRP2
ZSWIM5	ZSWIM5
GJC2	GJC2
RABIF	RABIF
SOX14	SOX14
NEUROD1	NEUROD1
HOXB13	HOXB13
MPEG1	MPEG1
ITGA4	ITGA4
UHRF1BP1	BLTP3A
HPDL	HPDL
UBE2E3	UBE2E3
KPNA1	KPNA1
MUTYH	MUTYH
SNRPC	SNRPC
USP2	USP2
DTX4	DTX4
C6orf106	ILRUN
STAT3	STAT3
IPO9	IPO9
CNTF	CNTF
TESK2	TESK2
SPDEF	SPDEF
ZFP91	ZFP91
MMACHC	MMACHC
LZTR1	LZTR1
C1QTNF5	C1QTNF5
NEUROD2	NEUROD2
PACSIN1	PACSIN1
PRDX1	PRDX1
LPXN	LPXN
WNT3A	WNT3A
RPS10	RPS10
ZNF385B	ZNF385B
MED1	MED1
SESTD1	SESTD1
NUDT3	NUDT3
MED19	MED19
AKR1A1	AKR1A1
CRHR2	CRHR2
KLHL22	KLHL22
GIP	GIP
CLP1	CLP1
ENO2	ENO2
FZD7	FZD7
GARS1	GARS1
LRRC58	LRRC58
SMARCD2	SMARCD2
NASP	NASP
SMPD4	SMPD4
SNF8	SNF8
SYT2	SYT2
GPBP1L1	GPBP1L1
TMEM69	TMEM69
IPP	IPP
FZD2	FZD2
CTDSPL	CTDSPL
FAM187A	FAM187A
SNRPD3	SNRPD3
SLC43A3	SLC43A3
GUCD1	GUCD1
VILL	VILL
VPS11	VPS11
PLCD1	PLCD1
UPB1	UPB1
ADORA2A	ADORA2A
SSRP1	SSRP1
DLEC1	DLEC1
ACAA1	ACAA1
SPECC1L	SPECC1L
MAST2	MAST2
APLNR	APLNR
CSRP1	CSRP1
LRRC55	LRRC55
BCR	BCR
FJX1	FJX1
MYD88	MYD88
PLPP3	PLPP3
RAB36	RAB36
TNNI1	TNNI1
BYSL	BYSL
GNAZ	GNAZ
DNER	DNER
PRKAA2	PRKAA2
MFF	MFF
FYB2	FYB2
SLC5A1	SLC5A1
C8A	C8A
YWHAH	YWHAH
LIPH	LIPH
TAF8	TAF8
PLXDC1	PLXDC1
CSRNP1	CSRNP1
CHN1	CHN1
C8B	C8B
WDFY1	WDFY1
GORASP1	GORASP1
WDR48	WDR48
OLA1	OLA1
DAB1	DAB1
TNNT2	TNNT2
HOXD10	HOXD10
OMA1	OMA1
BTG2	BTG2
MYSM1	MYSM1
HOXB9	HOXB9
FMOD	FMOD
PRELP	PRELP
ADAM23	ADAM23
FAM117A	FAM117A
FGGY	FGGY
JUN	JUN
FKBP5	FKBP5
PNPLA2	PNPLA2
HOOK1	HOOK1
CLPS	CLPS
PLA2G1B	PLA2G1B
TH	TH
CDK18	CDK18
EEFSEC	EEFSEC
LHFPL5	LHFPL5
RUVBL1	RUVBL1
MFSD4A	MFSD4A
CLTCL1	CLTCL1
SEC61A1	SEC61A1
SRPK1	SRPK1
TNNT3	TNNT3
MGLL	MGLL
ELK4	ELK4
LIMK2	LIMK2
ABTB1	ABTB1
SLC26A8	SLC26A8
RILPL1	RILPL1
SLC45A3	SLC45A3
ARHGEF3	ARHGEF3
NUCKS1	NUCKS1
CLIP1	CLIP1
MAPK14	MAPK14
IL17RD	IL17RD
HESX1	HESX1
APPL1	APPL1
ASB14	ASB14
RAB7L1	RAB29
BRPF3	BRPF3
ARF4	ARF4
PDE12	PDE12
PM20D1	PM20D1
PDE4B	PDE4B
SLC26A9	SLC26A9
DENND6A	DENND6A
OSBPL9	OSBPL9
CTSE	CTSE
AVPR1B	AVPR1B
SLMAP	SLMAP
EXOG	EXOG
GNA11	GNA11
DUS3L	DUS3L
ACVR2B	ACVR2B
CHERP	CHERP
KIF21B	KIF21B
IKBKE	IKBKE
CALR3	CALR3
XYLB	XYLB
PIAS4	PIAS4
FLNB	FLNB
RASSF5	RASSF5
ABHD6	ABHD6
NUB1	NUB1
ELF3	ELF3
DNASE1L3	DNASE1L3
WDR86	WDR86
IP6K2	IP6K2
S1PR4	S1PR4
EIF2D	EIF2D
NCLN	NCLN
NCKIPSD	NCKIPSD
CELF5	CELF5
DYRK3	DYRK3
PRKAG2	PRKAG2
MAPKAPK2	MAPKAPK2
IL10	IL10
GALNT11	GALNT11
ELL	ELL
YOD1	YOD1
C19orf70	MICOS13
PLPP2	PLPP2
XRCC2	XRCC2
ATG9B	ATG9B
SHISA5	SHISA5
CD34	CD34
ATRIP	ATRIP
PLXNA2	PLXNA2
AOC1	AOC1
SH3GL1	SH3GL1
CAMK1G	CAMK1G
ECM2	ECM2
LAMB3	LAMB3
G0S2	G0S2
BGN	ASPN
CHAF1A	CHAF1A
OMD	OMD
OGN	OGN
NOL8	NOL8
TRAF3IP3	TRAF3IP3
IRF6	IRF6
KCNC4	KCNC4
IARS	IARS1
ANKRD24	ANKRD24
LRRC61	LRRC61
GUCA1B	GUCA1B
MDM4	MDM4
ATP2B2	ATP2B2
SLC6A11	SLC6A11
SLC6A1	SLC6A1
LRRN2	LRRN2
HRH1	HRH1
ARHGEF18	ARHGEF18
LRIG2	LRIG2
ATG7	ATG7
MAGI3	MAGI3
VGLL4	VGLL4
INSR	INSR
PHTF1	PHTF1
FAM19A3	TAFA3
TAMM41	TAMM41
SLC26A6	SLC26A6
MYO9B	MYO9B
UQCRC1	UQCRC1
CDC25A	CDC25A
FAM212B	INKA2
DDX20	DDX20
HAUS8	HAUS8
COPG1	COPG1
KCND3	KCND3
F2RL3	F2RL3
HMCES	HMCES
RAB7A	RAB7A
CTTNBP2NL	CTTNBP2NL
PTPRS	PTPRS
RPN1	RPN1
DHX30	DHX30
DAG1	DAG1
SMARCC1	SMARCC1
MST1	MST1
KDM4B	KDM4B
SCAP	SCAP
LSM4	LSM4
JUND	JUND
NFASC	NFASC
MST1R	MST1R
MON1A	MON1A
PIK3R2	PIK3R2
RBM6	RBM6
FAM188B	MINDY4
SLC16A4	SLC16A4
PROK1	PROK1
MAST3	MAST3
RAD54L2	RAD54L2
AQP1	AQP1
LAMTOR5	LAMTOR5
SIN3B	SIN3B
TMEM38A	TMEM38A
ADCYAP1R1	ADCYAP1R1
RNF126	RNF126
FSTL3	FSTL3
USP4	USP4
SEC22C	SEC22C
EMC3	EMC3
NUP210L	NUP210L
NKTR	NKTR
CFTII	FUT7
DSTYK	DSTYK
ZBTB47	ZBTB47
OPTC	OPTC
GPX1	GPX1
KLHL40	KLHL40
HHATL	HHATL
CNTN2	CNTN2
URM1	URM1
RBBP5	RBBP5
SLC27A4	SLC27A4
BCL2L15	BCL2L15
GRM2	GRM2
MAPKAP1	MAPKAP1
AP4B1	AP4B1
ALAS1	ALAS1
WNT2B	WNT2B
PTBP1	PTBP1
PLPPR3	PLPPR3
UBAC1	UBAC1
ST7L	ST7L
PPM1M	PPM1M
CAMSAP1	CAMSAP1
CAPZA1	CAPZA1
WDR82	WDR82
GLYCTK	GLYCTK
BSG	BSG
HCN2	HCN2
MPZ	MPZ
ATP2B4	ATP2B4
MOV10	MOV10
RHOC	RHOC
POLRMT	POLRMT
B3GNT10	B3GALT9
PSMD5	PSMD5
PHF19	PHF19
WDR18	WDR18
KCNN3	KCNN3
GUCA1A	GUCA1A
TUBB4B	TUBB4B
PPARD	PPARD
B4GALT3	B4GALT3
WDR77	WDR77
PARP3	PARP3
NELFB	NELFB
ATP5PB	ATP5PB
RBM10	RBM5
GLE1	GLE1
HJV	HJV
SEMA3F	SEMA3F
ITPR3	ITPR3
GNAT1	GNAT1
EXOSC2	EXOSC2
ABL1	ABL1
GNAI2	GNAI2
B3GNT3	B3GNT3
BAK1	BAK1
LONP1	LONP1
PPP1R26	PPP1R26
TSPO2	TSPO2
FCN3	FIBCD1
APOBEC2	APOBEC2
OARD1	OARD1
C9orf116	PIERCE1
LAMC3	LAMC3
SLC1A6	SLC1A6
MRPS2	MRPS2
HYAL3	HYAL3
FAM69B	DIPK1B
NFYA	NFYA
FBLN2	FBLN2
CCDC124	CCDC124
WNT7A	WNT7A
C9ORF58	AIF1L
COPA	COPA
TRAF1	TRAF1
PTPDC1	PTPDC1
RANBP3	RANBP3
CNTRL	CNTRL
PHF2	PHF2
RAB14	RAB14
FAM120C	FAM120A
VANGL2	VANGL2
TCF3	TCF3
NCSTN	NCSTN
MDFI	MDFI
S100A11	S100A11
GSN	GSN
WNK2	WNK2
STOM	STOM
NDUFA11	NDUFA11
ATXN7L2	ATXN7L2
GPR61	GPR61
DAB2IP	DAB2IP
SUSD3	SUSD3
GNAI3	GNAI3
GNAT2	GNAT2
EEF2	EEF2
RPL35	RPL35
FGD3	FGD3
BICD2	BICD2
UQCR11	UQCR11
TMEM81	TMEM81
SCAI	SCAI
MVB12B	MVB12B
TKT	TKT
DCP1A	DCP1A
UAP1L1	UAP1L1
MBD3	MBD3
SAPCD2	SAPCD2
MEX3D	MEX3D
ZMYND19	ZMYND19
DPH7	DPH7
CACNA1D	CACNA1D
ATCAY	ATCAY
NRTN	NRTN
PNPLA7	PNPLA7
CHDH	CHDH
ACTR8	ACTR8
SELENOK	SELENOK
UBAP2L	UBAP2L
NSMF	NSMF
LRTM1	LRTM1
KDM5B	KDM5B
RFX2	RFX2
FRS3	FRS3
WNT5A	WNT5A
ANAPC2	ANAPC2
OAZ1	OAZ1
AQP10	AQP10
SF3A2	SF3A2
PLEKHJ1	PLEKHJ1
IL6R	IL6R
ERC2	ERC2
PFKFB2	PFKFB2
CCDC66	CCDC66
SHE	SHE
DOT1L	DOT1L
RSBN1	RSBN1
TOR4A	TOR4A
AP3D1	AP3D1
FAM208A	TASOR
REN	REN
MOB3A	MOB3A
UBE2Q1	UBE2Q1
NDUFA8	NDUFA8
MORN5	MORN5
SYN2	SYN2
TIMP4	TIMP4
CHRNB2	CHRNB2
PTPN22	PTPN22
ADAR	ADAR
PPARG	PPARG
SCAMP4	SCAMP4
SHC1	SHC1
MKRN2	MKRN2
CKS1B	CKS1B
FLAD1	FLAD1
CDK5RAP2	CDK5RAP2
RAF1	RAF1
CNBP	CNBP
ISY1	ISY1
EPS15L1	EPS15L1
HDHD3	ALAD
BSPRY	BSPRY
ZBTB7B	ZBTB7B
KHDC4	KHDC4
RAB43	RAB43
WDR31	WDR31
DCST2	DCST2
AP1M1	AP1M1
GP9	GP9
PRPF4	PRPF4
CDC26	CDC26
FAM32A	FAM32A
CIB3	CIB3
SLC31A1	SLC31A1
RAB8A	RAB8A
ENTREP3	ENTREP3
TPM4	TPM4
RABEPK	RABEPK
ACAD9	ACAD9
FKBP15	FKBP15
HSPA5	HSPA5
GRIN3B	GRIN3B
IQSEC1	IQSEC1
LRSAM1	LRSAM1
RPL12	RPL12
NUP210	NUP210
ENTPD2	ENTPD2
POGZ	POGZ
ARHGAP45	ARHGAP45
PSMB4	PSMB4
HDAC11	HDAC11
CLIC3	CLIC3
TUFT1	TUFT1
SBNO2	SBNO2
ABCA2	ABCA2
STK11	STK11
NTMT1	NTMT1
ASB6	ASB6
POC1A	POC1A
PRRX2	PRRX2
DUSP7	DUSP7
RBM3	CIRBP
TNNC1	TNNC1
C19orf24	FAM174C
EFNA2	EFNA2
NISCH	NISCH
NDUFS7	NDUFS7
STAB1	STAB1
DPP7	DPP7
NT5DC2	NT5DC2
SMIM4	UQCC5
MAN1B1	MAN1B1
PBRM1	PBRM1
GNL3	GNL3
SLC25A25	SLC25A25
APC2	APC2
GLT8D1	GLT8D1
GZMM	GZMM
NAIF1	NAIF1
FAM102A	EEIG1
POLE4	POLE4
MEX3A	MEX3A
LAMTOR2	LAMTOR2
UBQLN4	UBQLN4
AK1	AK1
ELAVL1	ELAVL1
MATK	MATK
SFMBT1	SFMBT1
CDK9	CDK9
TOR2A	TOR2A
RFT1	RFT1
CERCAM	CERCAM
GOLGA1	GOLGA1
PRKCD	PRKCD
TRUB2	TRUB2
PIP5K1C	PIP5K1C
CACTIN	CACTIN
HYAL2	HYAL2
TUSC2	TUSC2
SEC16A	SEC16A
HMG20B	HMG20B
ZMYND10	ZMYND10
DNM1	DNM1
CYB561D2	CYB561D2
TMEM161A	TMEM161A
INPP5E	INPP5E
NUP214	NUP214
FZR1	FZR1
HEMK1	HEMK1
CISH	CISH
PMPCA	PMPCA
FAM78A	FAM78A
MAPKAPK3	MAPKAPK3
SLC25A42	SLC25A42
SNAPC4	SNAPC4
ARMC6	ARMC6
PRRC2B	PRRC2B
DDX49	DDX49
DCAF1	DCAF1
CARD9	CARD9
COPE	COPE
RNF123	RNF123
CERS1	CERS1
POMT1	POMT1
UPF1	UPF1
MCM2	MCM2
ODF2	ODF2
SMG5	SMG5
CRTC1	CRTC1
TMEM79	TMEM79
CCT3	CCT3
TPRA1	TPRA1
GPSM1	GPSM1
ILF2	ILF2
KLHL26	KLHL26
BRINP1	BRINP1
UCK1	UCK1
DPP9	DPP9
QSOX2	QSOX2
LHX3	LHX3
AMIGO3	AMIGO3
TNFAIP8L1	TNFAIP8L1
C9orf69	TMEM250
RAPGEF1	RAPGEF1
MEF2D	MEF2D
TIMM44	TIMM44
STRBP	STRBP
CRB2	CRB2
HNRNPM	HNRNPM
HAPLN2	HAPLN2
DENND1A	DENND1A
SPPL2C	SPPL2B
TMPRSS9	TMPRSS9
MRRF	MRRF
PTGS1	PTGS1
FDPS	FDPS
LMNB2	LMNB2
PDCL	PDCL
HAPLN4	HAPLN4
RUSC1	RUSC1
MED26	MED26
ASH1L	ASH1L
ZBTB26	ZBTB26
SLC35E1	SLC35E1
LHX2	LHX2
KBTBD12	KBTBD12
ZBTB7A	ZBTB7A
RXRA	RXRA
RABGAP1	RABGAP1
REXO1	REXO1
NR2C2AP	NR2C2AP
MSTO1	MSTO1
ATP8B3	ATP8B3
MED27	MED27
PSMB7	PSMB7
ONECUT3	ONECUT3
SYT11	SYT11
RIT1	RIT1
GOLPH3L	GOLPH3L
FBXW5	FBXW5
TRAF2	TRAF2
RPS28	RPS28
MAMDC4	MAMDC4
AJM1	AJM1
TPGS1	TPGS1
NRARP	NRARP
EXD3	EXD3
NOXA1	NOXA1
ENTPD8	ENTPD8
PTGES	PTGES
TOR1B	TOR1B
LINGO3	LINGO3
VPS45	VPS45
USP20	USP20
PLEKHO1	PLEKHO1
RNF224	RNF224
CILP2	CILP2
YJEFN3	YJEFN3
FNBP1	FNBP1
MAU2	MAU2
SUGP1	SUGP1
UHRF1	UHRF1
GRIN1	GRIN1
GPR107	GPR107
FEM1A	FEM1A
MYO1F	MYO1F
ZAP70	ZAP70
NFILZ	NFILZ
SPTAN1	SPTAN1
WDR34	DYNC2I2
SET	SET
ACSBG2	ACSBG2
ZDHHC12	ZDHHC12
MLLT1	MLLT1
ZER1	ZER1
ACER1	ACER1
TBC1D13	TBC1D13
KCNN1	KCNN1
ENDOG	ENDOG
SETDB1	SETDB1
CERS2	CERS2
SPOUT1	SPOUT1
PRUNE1	PRUNE1
NR2F6	NR2F6
KYAT1	KYAT1
LRRC8A	LRRC8A
GABPB2	GABPB2
DOLK	DOLK
DDA1	DDA1
NUP188	NUP188
TMOD4	TMOD4
VPS72	VPS72
ZNF687	ZNF687
SH3GLB2	SH3GLB2
PI4KB	PI4KB
PRPF3	PRPF3
MIGA2	MIGA2
CRAT	CRAT
PTPA	PTPA
ZBTB34	ZBTB34
CADM3	CADM3
ZBTB43	ZBTB43
TAGLN2	TAGLN2
CFAP45	CFAP45
RALGPS1	RALGPS1
VSIG8	VSIG8
ANGPTL2	ANGPTL2
FBXW2	FBXW2
SLC2A8	SLC2A8
NTRK1	NTRK1
MIDN	MIDN
DAZAP1	DAZAP1
ARRDC1	ARRDC1
HOMER3	HOMER3
OTUD7B	OTUD7B
EHMT1	EHMT1
SV2A	SV2A
SSR2	SSR2
CTSS	CTSS
CTSK	CTSK
ARNT	ARNT
SETX	SETX
TTF1	TTF1
CFAP77	CFAP77
DDX31	DDX31
GTF3C4	GTF3C4
TSC1	TSC1
GFI1B	GFI1B
CEL	CEL
GTF3C5	GTF3C5
GBGT1	GBGT1
SURF6	SURF6
ETV3	ETV3
SURF1	SURF1
SURF2	SURF2
SURF4	SURF4
STKLD1	STKLD1
HORMAD1	HORMAD1
REXO4	REXO4
CACFD1	CACFD1
SLC2A6	SLC2A6
TMEM8C	MYMK
ADAMTSL2	ADAMTSL2
FAM163B	FAM163B
DBH	DBH
SARDH	SARDH
VAV2	VAV2
BRD3	BRD3
SF3B4	SF3B4
FUBP3	FUBP3
FAM129B	NIBAN2
STXBP1	STXBP1
WHRN	WHRN
TMEM268	TMEM268
TNFSF15	TNFSF15
TNFSF8	TNFSF8
TNC	TNC
PAPPA	PAPPA
ASTN2	ASTN2
TRIM32	TRIM32
TLR4	TLR4
NR5A1	NR5A1
NR6A1	NR6A1
EGFL7	EGFL7
QRFP	QRFP
MRPL41	MRPL41
TMEM203	TMEM203
SH2D3C	SH2D3C
RC3H2	RC3H2
NEK6	NEK6
RABL6	RABL6
NARF	NARF
CYBC1	CYBC1
HEXDC	HEXD
DUS1L	DUS1L
HNF1B	HNF1B
ANKFY1	ANKFY1
CYB5D2	CYB5D2
RAC3	RAC3
ZZEF1	ZZEF1
LRRC45	LRRC45
ZNHIT3	ZNHIT3
CALN1	CALN1
NOTUM	NOTUM
PIGW	PIGW
CA4	CA4
MYO19	MYO19
HEATR6	HEATR6
SRSF1	SRSF1
